date,population,density,fips
7/1/2010,630461,1346.615697,34025
7/1/2011,629119,1343.7492893,34025
7/1/2012,627641,1340.5923961,34025
7/1/2013,626912,1339.0353088,34025
7/1/2014,625512,1336.0450176,34025
7/1/2015,624079,1332.984241,34025
7/1/2016,622971,1330.6176391,34025
7/1/2017,621990,1328.5222993,34025
7/1/2018,620459,1325.2522023,34025
7/1/2019,618795,1321.6980276,34025
7/1/2010,148855,286.9475709,34037
7/1/2011,148167,285.62131428,34037
7/1/2012,146979,283.33120838,34037
7/1/2013,145639,280.74809229,34037
7/1/2014,144593,278.73171959,34037
7/1/2015,143004,275.66860656,34037
7/1/2016,141925,273.5886198,34037
7/1/2017,141197,272.18525524,34037
7/1/2018,140801,271.4218866,34037
7/1/2019,140488,270.81851695,34037
7/1/2010,784037,6218.3435003,34013
7/1/2011,785551,6230.3513163,34013
7/1/2012,785063,6226.4808974,34013
7/1/2013,786649,6239.0597589,34013
7/1/2014,788726,6255.5328328,34013
7/1/2015,790439,6269.1189549,34013
7/1/2016,792689,6286.964124,34013
7/1/2017,796349,6315.9922658,34013
7/1/2018,798570,6333.6074306,34013
7/1/2019,798975,6336.819561,34013
7/1/2010,289150,898.04600932,34015
7/1/2011,289687,899.71383123,34015
7/1/2012,289804,900.07721143,34015
7/1/2013,289883,900.3225707,34015
7/1/2014,290680,902.79790416,34015
7/1/2015,290943,903.61473314,34015
7/1/2016,290761,903.04947506,34015
7/1/2017,290961,903.67063779,34015
7/1/2018,291525,905.42231667,34015
7/1/2019,291636,905.76706199,34015
7/1/2010,502023,2698.8829597,34031
7/1/2011,503264,2705.5545938,34031
7/1/2012,503558,2707.1351421,34031
7/1/2013,503857,2708.7425704,34031
7/1/2014,504547,2712.4520205,34031
7/1/2015,504629,2712.8928537,34031
7/1/2016,504147,2710.3016147,34031
7/1/2017,504402,2711.6724984,34031
7/1/2018,503183,2705.1191366,34031
7/1/2019,501826,2697.8238848,34031
7/1/2010,906284,3893.218489,34003
7/1/2011,911994,3917.7475302,34003
7/1/2012,916255,3936.0519513,34003
7/1/2013,919951,3951.9292432,34003
7/1/2014,923403,3966.7583588,34003
7/1/2015,926391,3979.5942213,34003
7/1/2016,928120,3987.0216665,34003
7/1/2017,932420,4005.493624,34003
7/1/2018,932816,4007.1947624,34003
7/1/2019,932202,4004.5571387,34003
7/1/2010,108576,304.53011784,34041
7/1/2011,108142,303.31285002,34041
7/1/2012,107563,301.68889134,34041
7/1/2013,106897,299.82091813,34041
7/1/2014,106981,300.05651836,34041
7/1/2015,106742,299.38617962,34041
7/1/2016,106059,297.47052542,34041
7/1/2017,105715,296.50568641,34041
7/1/2018,105528,295.98119544,34041
7/1/2019,105267,295.24915188,34041
7/1/2010,449129,561.90825337,34005
7/1/2011,450187,563.23192415,34005
7/1/2012,450522,563.65104486,34005
7/1/2013,448824,561.52666586,34005
7/1/2014,448168,560.70593994,34005
7/1/2015,446832,559.03446153,34005
7/1/2016,445972,557.95850986,34005
7/1/2017,445610,557.50560927,34005
7/1/2018,444745,556.42340207,34005
7/1/2019,445349,557.17907045,34005
7/1/2010,367713,1638.3552994,34021
7/1/2011,367378,1636.8626978,34021
7/1/2012,368554,1642.1023979,34021
7/1/2013,369429,1646.0009842,34021
7/1/2014,368909,1643.68411,34021
7/1/2015,368124,1640.1865211,34021
7/1/2016,367699,1638.292922,34021
7/1/2017,368168,1640.3825643,34021
7/1/2018,368188,1640.4716749,34021
7/1/2019,367430,1637.0943852,34021
7/1/2010,156699,324.18650809,34011
7/1/2011,157043,324.89819201,34011
7/1/2012,156934,324.67268752,34011
7/1/2013,156098,322.94313008,34011
7/1/2014,156009,322.75900255,34011
7/1/2015,154712,320.07570591,34011
7/1/2016,153233,317.01587882,34011
7/1/2017,151423,313.27126284,34011
7/1/2018,150635,311.64101013,34011
7/1/2019,149527,309.34872587,34011
7/1/2010,324122,1073.7265489,34035
7/1/2011,326249,1080.7727117,34035
7/1/2012,327407,1084.6088455,34035
7/1/2013,329047,1090.0417119,34035
7/1/2014,329329,1090.9758999,34035
7/1/2015,329626,1091.9597788,34035
7/1/2016,329875,1092.7846469,34035
7/1/2017,330573,1095.0969279,34035
7/1/2018,330181,1093.7983403,34035
7/1/2019,328934,1089.6673742,34035
7/1/2010,577564,919.19364075,34029
7/1/2011,578876,921.28168996,34029
7/1/2012,579932,922.96231494,34029
7/1/2013,582059,926.34743741,34029
7/1/2014,584447,930.14794162,34029
7/1/2015,587091,934.35587007,34029
7/1/2016,590897,940.41312259,34029
7/1/2017,595424,947.61784728,34029
7/1/2018,601478,957.25279389,34029
7/1/2019,607186,966.33708117,34029
7/1/2010,274648,494.40267516,34001
7/1/2011,274621,494.35407159,34001
7/1/2012,274629,494.36847265,34001
7/1/2013,274314,493.80143105,34001
7/1/2014,272578,490.67640176,34001
7/1/2015,270153,486.31108147,34001
7/1/2016,267217,481.02589368,34001
7/1/2017,265498,477.93146664,34001
7/1/2018,263989,475.21506733,34001
7/1/2019,263670,474.6408252,34001
7/1/2010,810758,2621.9838854,34023
7/1/2011,815198,2636.3428044,34023
7/1/2012,819344,2649.7509301,34023
7/1/2013,821743,2657.509274,34023
7/1/2014,824160,2665.3258297,34023
7/1/2015,825546,2669.8081409,34023
7/1/2016,825457,2669.5203157,34023
7/1/2017,827363,2675.6843021,34023
7/1/2018,826172,2671.8326191,34023
7/1/2019,825062,2668.2428893,34023
7/1/2010,65980,198.81784303,34033
7/1/2011,65875,198.50144604,34033
7/1/2012,65413,197.10929928,34033
7/1/2013,64786,195.21995724,34033
7/1/2014,64323,193.82479717,34033
7/1/2015,63732,192.0439341,34033
7/1/2016,63203,190.44989592,34033
7/1/2017,62883,189.48563843,34033
7/1/2018,62746,189.07281568,34033
7/1/2019,62385,187.98501269,34033
7/1/2010,97212,386.55441606,34009
7/1/2011,96494,383.69935628,34009
7/1/2012,96228,382.64163219,34009
7/1/2013,95498,379.73885554,34009
7/1/2014,94907,377.38879937,34009
7/1/2015,94160,374.41842382,34009
7/1/2016,93655,372.4103386,34009
7/1/2017,93129,370.31874885,34009
7/1/2018,92446,367.6028633,34009
7/1/2019,92039,365.9844659,34009
7/1/2010,513275,2318.8386953,34007
7/1/2011,512585,2315.7214605,34007
7/1/2012,511584,2311.1992111,34007
7/1/2013,509908,2303.627493,34007
7/1/2014,508316,2296.4352642,34007
7/1/2015,507638,2293.3722422,34007
7/1/2016,507002,2290.4989649,34007
7/1/2017,506224,2286.9841697,34007
7/1/2018,506353,2287.5669571,34007
7/1/2019,506471,2288.1000494,34007
7/1/2010,537369,5229.038243,34039
7/1/2011,539931,5253.9685906,34039
7/1/2012,542970,5283.5405369,34039
7/1/2013,546025,5313.2681763,34039
7/1/2014,548014,5332.622767,34039
7/1/2015,549905,5351.0237379,34039
7/1/2016,552781,5379.0095614,34039
7/1/2017,554738,5398.0527661,34039
7/1/2018,556402,5414.244842,34039
7/1/2019,556341,5413.6512622,34039
7/1/2010,635652,13760.612094,34017
7/1/2011,645634,13976.702706,34017
7/1/2012,652348,14122.047564,34017
7/1/2013,657047,14223.771646,34017
7/1/2014,660240,14292.893798,34017
7/1/2015,664492,14384.941212,34017
7/1/2016,668588,14473.611533,34017
7/1/2017,672826,14565.355875,34017
7/1/2018,671931,14545.98089,34017
7/1/2019,672391,14555.938983,34017
7/1/2010,127322,297.59887651,34019
7/1/2011,127330,297.61757549,34019
7/1/2012,126594,295.8972697,34019
7/1/2013,126376,295.38772261,34019
7/1/2014,125835,294.12320436,34019
7/1/2015,125452,293.22799089,34019
7/1/2016,124775,291.64559005,34019
7/1/2017,124712,291.49833562,34019
7/1/2018,124807,291.72038596,34019
7/1/2019,124371,290.70129177,34019
7/1/2010,492617,1068.6783279,34027
7/1/2011,494792,1073.3967508,34027
7/1/2012,495620,1075.1930056,34027
7/1/2013,496030,1076.0824555,34027
7/1/2014,494848,1073.5182367,34027
7/1/2015,494259,1072.240466,34027
7/1/2016,493801,1071.2468855,34027
7/1/2017,493920,1071.5050429,34027
7/1/2018,493070,1069.6610615,34027
7/1/2019,491845,1067.0035589,34027
