date,population,density,fips
4/1/2010,21875,84.960781434,13189
4/1/2010,21867,84.929710063,13189
7/1/2010,21803,84.681139091,13189
7/1/2011,21614,83.947077939,13189
7/1/2012,21630,84.009220682,13189
7/1/2013,21499,83.500426974,13189
7/1/2014,21524,83.59752501,13189
7/1/2015,21462,83.356721881,13189
7/1/2016,21456,83.333418352,13189
7/1/2017,21511,83.547034031,13189
7/1/2018,21532,83.628596381,13189
7/1/2019,21312,82.774133665,13189
4/1/2010,17868,51.433003709,13211
4/1/2010,17871,51.441639203,13211
7/1/2010,17901,51.527994145,13211
7/1/2011,17907,51.545265134,13211
7/1/2012,17809,51.263172322,13211
7/1/2013,17682,50.897603066,13211
7/1/2014,17896,51.513601655,13211
7/1/2015,17948,51.663283555,13211
7/1/2016,18107,52.12096475,13211
7/1/2017,18373,52.88664524,13211
7/1/2018,18831,54.204997361,13211
7/1/2019,19276,55.485929007,13211
4/1/2010,11834,39.983476138,13149
4/1/2010,11829,39.966582663,13149
7/1/2010,11841,40.007127003,13149
7/1/2011,11731,39.635470557,13149
7/1/2012,11652,39.368553656,13149
7/1/2013,11564,39.071228499,13149
7/1/2014,11623,39.270571502,13149
7/1/2015,11556,39.044198939,13149
7/1/2016,11579,39.121908924,13149
7/1/2017,11751,39.703044456,13149
7/1/2018,11871,40.108487851,13149
7/1/2019,11923,40.284179989,13149
4/1/2010,94565,287.74315511,13095
4/1/2010,94564,287.7401123,13095
7/1/2010,94513,287.58492908,13095
7/1/2011,95063,289.25847358,13095
7/1/2012,94694,288.13567736,13095
7/1/2013,93411,284.23175447,13095
7/1/2014,92742,282.1961158,13095
7/1/2015,91513,278.45650456,13095
7/1/2016,90389,275.03638817,13095
7/1/2017,89457,272.20049095,13095
7/1/2018,89200,271.41848925,13095
7/1/2019,87956,267.63323588,13095
4/1/2010,23682,61.177202654,13111
4/1/2010,23709,61.246951174,13111
7/1/2010,23685,61.184952489,13111
7/1/2011,23648,61.089371183,13111
7/1/2012,23615,61.004122991,13111
7/1/2013,23831,61.562111158,13111
7/1/2014,23863,61.644776071,13111
