date,fips,population,density
4/1/2010,51,67009,470.68380556
4/1/2010,51,67379,473.28275507
7/1/2010,51,67661,475.26357606
7/1/2011,51,68297,479.73095955
7/1/2012,51,69409,487.54185647
7/1/2013,51,70612,495.99195449
7/1/2014,51,72064,506.19107528
7/1/2015,51,72819,511.49433713
7/1/2016,51,73930,519.29820987
7/1/2017,51,75274,528.73871838
7/1/2018,51,76033,534.07007698
7/1/2019,51,76523,537.51192904
4/1/2010,51,28897,61.025475985
4/1/2010,51,28923,61.080383497
7/1/2010,51,28878,60.985351264
7/1/2011,51,28683,60.573544924
7/1/2012,51,28427,60.032917113
7/1/2013,51,28336,59.840740821
7/1/2014,51,28077,59.293777528
7/1/2015,51,27854,58.822840021
7/1/2016,51,27422,57.91053059
7/1/2017,51,27046,57.116483492
7/1/2018,51,26795,56.586414818
7/1/2019,51,26586,56.145042895
4/1/2010,51,32208,71.359191276
4/1/2010,51,32213,71.370269143
7/1/2010,51,32198,71.337035541
7/1/2011,51,32047,71.002483942
7/1/2012,51,31896,70.667932344
7/1/2013,51,31772,70.39320123
7/1/2014,51,31573,69.952302104
7/1/2015,51,31419,69.611103785
7/1/2016,51,31126,68.961940749
7/1/2017,51,30731,68.086789217
7/1/2018,51,30454,67.473075357
7/1/2019,51,30104,66.697624633
4/1/2010,51,43475,4243.6705012
4/1/2010,51,43425,4238.7899141
7/1/2010,51,43461,4242.3039368
7/1/2011,51,43761,4271.5874595
7/1/2012,51,44580,4351.5314765
7/1/2013,51,45012,4393.6997493
7/1/2014,51,45518,4443.0912909
7/1/2015,51,46301,4519.5212852
7/1/2016,51,46943,4582.1880239
7/1/2017,51,47463,4632.9461299
7/1/2018,51,47506,4637.1434348
7/1/2019,51,47266,4613.7166166
4/1/2010,51,54842,108.98489936
4/1/2010,51,54809,108.91932003
7/1/2010,51,54901,109.10214726
7/1/2011,51,54789,108.87957498
7/1/2012,51,54830,108.96105233
7/1/2013,51,55078,109.45389094
7/1/2014,51,55272,109.83941792
7/1/2015,51,55356,110.00634713
7/1/2016,51,55419,110.13154403
7/1/2017,51,55326,109.94672955
7/1/2018,51,55137,109.57113884
7/1/2019,51,54885,109.07035122
4/1/2010,51,306935,1313.5065446
4/1/2010,51,306756,1312.7405268
7/1/2010,51,307253,1314.867403
7/1/2011,51,310430,1328.463149
7/1/2012,51,315587,1350.5321644
7/1/2013,51,318640,1363.5972612
7/1/2014,51,321835,1377.2700369
7/1/2015,51,324375,1388.1397866
7/1/2016,51,325931,1394.7985782
7/1/2017,51,327559,1401.7654886
7/1/2018,51,328993,1407.9021898
7/1/2019,51,330818,1415.7121477
4/1/2010,51,23584,131.29365551
4/1/2010,51,23578,131.26025312
7/1/2010,51,23696,131.91716677
7/1/2011,51,24273,135.12936314
7/1/2012,51,24606,136.9831957
7/1/2013,51,24897,138.60321155
7/1/2014,51,25260,140.62405606
7/1/2015,51,25414,141.48138404
7/1/2016,51,25947,144.44862956
7/1/2017,51,26337,146.61978482
7/1/2018,51,26612,148.15072763
7/1/2019,51,26836,149.39775014
4/1/2010,51,11391,85.455477897
4/1/2010,51,11390,85.44797588
7/1/2010,51,11362,85.237919398
7/1/2011,51,11275,84.585243902
7/1/2012,51,11125,83.459941322
7/1/2013,51,10959,82.214606467
7/1/2014,51,10861,81.479408782
7/1/2015,51,10825,81.209336163
7/1/2016,51,10771,80.804227234
7/1/2017,51,10725,80.459134443
7/1/2018,51,10696,80.241575944
7/1/2019,51,10603,79.543888345
4/1/2010,51,25587,58.769694027
4/1/2010,51,25589,58.774287742
7/1/2010,51,25605,58.811037463
7/1/2011,51,25544,58.670929153
7/1/2012,51,25428,58.404493677
7/1/2013,51,25080,57.605187251
7/1/2014,51,24724,56.787505965
7/1/2015,51,24595,56.491211342
7/1/2016,51,24165,55.503562597
7/1/2017,51,23900,54.894895347
7/1/2018,51,23656,54.334462106
7/1/2019,51,23423,53.799294298
4/1/2010,51,8978,104.50443858
4/1/2010,51,8976,104.48115846
7/1/2010,51,8974,104.45787835
7/1/2011,51,8944,104.10867661
7/1/2012,51,8911,103.72455471
7/1/2013,51,8898,103.57323396
7/1/2014,51,8813,102.58382905
7/1/2015,51,8834,102.82827026
7/1/2016,51,8769,102.0716665
7/1/2017,51,8709,101.37326304
7/1/2018,51,8792,102.33938783
7/1/2019,51,8834,102.82827026
4/1/2010,51,10959,84.086297444
4/1/2010,51,10959,84.086297444
7/1/2010,51,10980,84.247426401
7/1/2011,51,10854,83.280652656
7/1/2012,51,10850,83.249961425
7/1/2013,51,10781,82.720537708
7/1/2014,51,10657,81.769109577
7/1/2015,51,10686,81.991620995
7/1/2016,51,10749,82.475007868
7/1/2017,51,10625,81.523579737
7/1/2018,51,10733,82.352242947
7/1/2019,51,10582,81.193649014
4/1/2010,51,35725,134.6376324
4/1/2010,51,35715,134.59994517
7/1/2010,51,35642,134.32482839
7/1/2011,51,36716,138.37243698
7/1/2012,51,37123,139.90630728
7/1/2013,51,37333,140.69773913
7/1/2014,51,37415,141.00677442
7/1/2015,51,38246,144.13858331
7/1/2016,51,37972,143.10595319
7/1/2017,51,38006,143.23408977
7/1/2018,51,37993,143.18509637
7/1/2019,51,38353,144.54183668
4/1/2010,51,9254,48.329340953
4/1/2010,51,9254,48.329340953
7/1/2010,51,9280,48.465126869
7/1/2011,51,9208,48.089104333
7/1/2012,51,9079,47.415397289
7/1/2013,51,8952,46.752135316
7/1/2014,51,8884,46.39700292
7/1/2015,51,8781,45.859081792
7/1/2016,51,8758,45.738963482
7/1/2017,51,8889,46.423115597
7/1/2018,51,8970,46.84614095
7/1/2019,51,9023,47.122935316
4/1/2010,51,23177,43.254607689
4/1/2010,51,23168,43.237811233
7/1/2010,51,23128,43.163160315
7/1/2011,51,23053,43.023189846
7/1/2012,51,22954,42.838428826
7/1/2013,51,22768,42.491302061
7/1/2014,51,22519,42.026600101
7/1/2015,51,22296,41.610421238
7/1/2016,51,22082,41.211038831
7/1/2017,51,21893,40.858313247
7/1/2018,51,21672,40.44586693
7/1/2019,51,21566,40.248041999
4/1/2010,51,122397,304.84672445
4/1/2010,51,122453,304.98620023
7/1/2010,51,122976,306.28880435
7/1/2011,51,124537,310.17669161
7/1/2012,51,125827,313.38961574
7/1/2013,51,127392,317.28746555
7/1/2014,51,128804,320.80424762
7/1/2015,51,129948,323.65353848
7/1/2016,51,131252,326.90133155
7/1/2017,51,132739,330.60491153
7/1/2018,51,134011,333.77300416
7/1/2019,51,136215,339.26237221
4/1/2010,51,14973,44.800002788
4/1/2010,51,15028,44.964565678
7/1/2010,51,15098,45.174009357
7/1/2011,51,15109,45.206921935
7/1/2012,51,15246,45.616833134
7/1/2013,51,15320,45.838245022
7/1/2014,51,15348,45.922022494
7/1/2015,51,15492,46.35287806
7/1/2016,51,15528,46.460591952
7/1/2017,51,15723,47.044042199
7/1/2018,51,15881,47.516786501
7/1/2019,51,15911,47.606548078
4/1/2010,51,56159,81.316533301
4/1/2010,51,56128,81.271646239
7/1/2010,51,56176,81.341148787
7/1/2011,51,56337,81.574271917
7/1/2012,51,56290,81.506217339
7/1/2013,51,56269,81.475809974
7/1/2014,51,56258,81.459882307
7/1/2015,51,56227,81.414995245
7/1/2016,51,56158,81.315085332
7/1/2017,51,56315,81.542416583
7/1/2018,51,56191,81.362868334
7/1/2019,51,56042,81.14712084
4/1/2010,51,6945,22.036218098
4/1/2010,51,6940,22.02035329
7/1/2010,51,6976,22.134579907
7/1/2011,51,6987,22.169482484
7/1/2012,51,7009,22.239287639
7/1/2013,51,7029,22.30274687
7/1/2014,51,7082,22.470913833
7/1/2015,51,7085,22.480432718
7/1/2016,51,7054,22.382070909
7/1/2017,51,6999,22.207558023
7/1/2018,51,7045,22.353514255
7/1/2019,51,7025,22.290055024
4/1/2010,51,94392,244.00527335
4/1/2010,51,94422,244.08282397
7/1/2010,51,94557,244.43180177
7/1/2011,51,94737,244.89710549
7/1/2012,51,95652,247.26239943
7/1/2013,51,96589,249.68456382
7/1/2014,51,97107,251.02360454
7/1/2015,51,97317,251.56645888
7/1/2016,51,98172,253.77665157
7/1/2017,51,98142,253.69910095
7/1/2018,51,98532,254.70725902
7/1/2019,51,98535,254.71501409
4/1/2010,51,18429,87.742205157
4/1/2010,51,18432,87.75648844
7/1/2010,51,18543,88.284969897
7/1/2011,51,18764,89.337171717
7/1/2012,51,19149,91.170192987
7/1/2013,51,19516,92.917514561
7/1/2014,51,20019,95.312344948
7/1/2015,51,20377,97.016816674
7/1/2016,51,21009,100.02582821
7/1/2017,51,21638,103.02055647
7/1/2018,51,22317,106.25333944
7/1/2019,51,23091,109.93842635
4/1/2010,51,10052,33.788039588
4/1/2010,51,10039,33.744342362
7/1/2010,51,10028,33.707367786
7/1/2011,51,9985,33.562830808
7/1/2012,51,9841,33.078799998
7/1/2013,51,9848,33.102329274
7/1/2014,51,9839,33.072077348
7/1/2015,51,9756,32.793087367
7/1/2016,51,9745,32.756112792
7/1/2017,51,9828,33.035102772
7/1/2018,51,9857,33.132581199
7/1/2019,51,9932,33.384680579
4/1/2010,51,15903,48.125200067
4/1/2010,51,15877,48.046519617
7/1/2010,51,15847,47.955734482
7/1/2011,51,15779,47.749954843
7/1/2012,51,15707,47.532070519
7/1/2013,51,15526,46.984333537
7/1/2014,51,15344,46.433570385
7/1/2015,51,15201,46.000827908
7/1/2016,51,15014,45.4349339
7/1/2017,51,14722,44.551291919
7/1/2018,51,14526,43.958162371
7/1/2019,51,14318,43.328718768
4/1/2010,51,36241,44.318982556
4/1/2010,51,36253,44.333657311
7/1/2010,51,36206,44.276181188
7/1/2011,51,36000,44.024264563
7/1/2012,51,35738,43.703865748
7/1/2013,51,35386,43.273406273
7/1/2014,51,35204,43.050839157
7/1/2015,51,35103,42.927326637
7/1/2016,51,34990,42.789139363
7/1/2017,51,34575,42.281637424
7/1/2018,51,34181,41.799816306
7/1/2019,51,33911,41.469634322
4/1/2010,51,312311,605.52908297
4/1/2010,51,312348,605.600821
7/1/2010,51,315478,611.66947062
7/1/2011,51,326327,632.7042245
7/1/2012,51,337847,655.03995727
7/1/2013,51,349915,678.43818843
7/1/2014,51,362206,702.26878665
7/1/2015,51,374014,725.16291273
7/1/2016,51,385546,747.52191189
7/1/2017,51,397049,769.82468394
7/1/2018,51,405522,786.25269294
7/1/2019,51,413538,801.79464032
4/1/2010,51,402002,1197.3444005
4/1/2010,51,402009,1197.3652497
7/1/2010,51,406169,1209.7556177
7/1/2011,51,419094,1248.2521336
7/1/2012,51,429616,1279.5914249
7/1/2013,51,437735,1303.7734916
7/1/2014,51,443782,1321.784202
7/1/2015,51,450978,1343.2171558
7/1/2016,51,456496,1359.6522641
7/1/2017,51,463069,1379.2296412
7/1/2018,51,466235,1388.659426
7/1/2019,51,470335,1400.8710868
4/1/2010,51,18570,30.991542201
4/1/2010,51,18573,30.996548912
7/1/2010,51,18640,31.108365462
7/1/2011,51,18638,31.105027654
7/1/2012,51,18507,30.886401266
7/1/2013,51,18329,30.589336403
7/1/2014,51,18223,30.412432608
7/1/2015,51,18136,30.267237984
7/1/2016,51,18080,30.173779375
7/1/2017,51,17841,29.774911384
7/1/2018,51,17713,29.561291707
7/1/2019,51,17631,29.424441602
4/1/2010,51,2321,5.5905767552
4/1/2010,51,2319,5.585759369
7/1/2010,51,2297,5.5327681201
7/1/2011,51,2260,5.4436464743
7/1/2012,51,2234,5.3810204529
7/1/2013,51,2205,5.3111683521
7/1/2014,51,2238,5.3906552254
7/1/2015,51,2196,5.289490114
7/1/2016,51,2210,5.3232118178
7/1/2017,51,2217,5.3400726697
7/1/2018,51,2208,5.3183944315
7/1/2019,51,2190,5.2750379552
4/1/2010,51,28545,54.102490619
4/1/2010,51,28554,54.119548682
7/1/2010,51,28635,54.273071251
7/1/2011,51,28672,54.343198844
7/1/2012,51,28949,54.868208125
7/1/2013,51,29248,55.434914893
7/1/2014,51,29741,56.369317691
7/1/2015,51,29900,56.670676808
7/1/2016,51,30099,57.04784954
7/1/2017,51,30432,57.678997881
7/1/2018,51,30751,58.283611456
7/1/2019,51,30725,58.234332607
4/1/2010,51,36858,169.22105135
4/1/2010,51,36859,169.22564251
7/1/2010,51,36940,169.59752664
7/1/2011,51,36889,169.36337738
7/1/2012,51,36838,169.12922811
7/1/2013,51,36768,168.80784677
7/1/2014,51,37024,169.98318425
7/1/2015,51,37010,169.91890799
