date,population,density,fips
4/1/2010,2967297,63.234158038,28
4/1/2010,2968130,63.251909565,28
7/1/2010,2970548,63.303438008,28
7/1/2011,2978731,63.477820658,28
7/1/2012,2983816,63.586183823,28
7/1/2013,2988711,63.69049802,28
7/1/2014,2990468,63.727940317,28
7/1/2015,2988471,63.685383534,28
7/1/2016,2987938,63.674025114,28
7/1/2017,2988510,63.686214638,28
7/1/2018,2981020,63.526600065,28
7/1/2019,2976149,63.422797317,28
4/1/2010,5988927,87.117420906,29
4/1/2010,5988950,87.117755474,29
7/1/2010,5995974,87.219929497,29
7/1/2011,6010275,87.427957786,29
7/1/2012,6024367,87.632945874,29
7/1/2013,6040715,87.870750675,29
7/1/2014,6056202,88.096031013,29
7/1/2015,6071732,88.321936847,29
7/1/2016,6087135,88.545995286,29
7/1/2017,6106670,88.830159514,29
7/1/2018,6121623,89.047672066,29
7/1/2019,6137428,89.277578164,29
4/1/2010,989415,6.7978738563,30
4/1/2010,989407,6.7978188915,30
7/1/2010,990697,6.8066819644,30
7/1/2011,997316,6.8521584601,30
7/1/2012,1003783,6.8965906248,30
7/1/2013,1013569,6.9638263081,30
7/1/2014,1021869,7.020852281,30
7/1/2015,1030475,7.0799806573,30
7/1/2016,1040859,7.1513249588,30
7/1/2017,1052482,7.2311819327,30
7/1/2018,1060665,7.2874040456,30
7/1/2019,1068778,7.3431452165,30
4/1/2010,1826341,23.775375196,31
4/1/2010,1826305,23.774906547,31
7/1/2010,1829542,23.817045934,31
7/1/2011,1840672,23.961936688,31
7/1/2012,1853303,24.126367517,31
7/1/2013,1865279,24.282271531,31
7/1/2014,1879321,24.465070811,31
7/1/2015,1891277,24.620714464,31
7/1/2016,1905616,24.807380101,31
7/1/2017,1915947,24.941869444,31
7/1/2018,1925614,25.06771481,31
7/1/2019,1934408,25.18219543,31
4/1/2010,2700551,24.581665856,32
4/1/2010,2700677,24.582812766,32
7/1/2010,2702405,24.598541823,32
7/1/2011,2712730,24.692524754,32
7/1/2012,2743996,24.977122366,32
7/1/2013,2775970,25.268164521,32
7/1/2014,2817628,25.64735493,32
7/1/2015,2866939,26.096206488,32
7/1/2016,2917563,26.557009581,32
7/1/2017,2969905,27.033450705,32
7/1/2018,3027341,27.556259776,32
7/1/2019,3080156,28.037006365,32
4/1/2010,1316470,147.03576488,33
4/1/2010,1316462,147.03487136,33
7/1/2010,1316762,147.06837819,33
7/1/2011,1320202,147.45258978,33
7/1/2012,1324232,147.90269812,33
7/1/2013,1326622,148.16963583,33
7/1/2014,1333341,148.92007701,33
7/1/2015,1336350,149.25615046,33
7/1/2016,1342307,149.92148431,33
7/1/2017,1348787,150.64523172,33
7/1/2018,1353465,151.16771481,33
7/1/2019,1359711,151.8653269,33
4/1/2010,8791894,1195.3950681,34
4/1/2010,8791978,1195.4064892,34
7/1/2010,8799446,1196.4218802,34
7/1/2011,8828117,1200.3201497,34
7/1/2012,8844942,1202.6077708,34
7/1/2013,8856972,1204.2434369,34
7/1/2014,8864525,1205.270385,34
7/1/2015,8867949,1205.7359311,34
7/1/2016,8870827,1206.1272401,34
7/1/2017,8885525,1208.1256624,34
7/1/2018,8886025,1208.1936452,34
7/1/2019,8882190,1207.6722171,34
4/1/2010,2059179,16.974205955,35
4/1/2010,2059199,16.974370819,35
7/1/2010,2064552,17.018496621,35
7/1/2011,2080450,17.149546872,35
7/1/2012,2087309,17.20608692,35
7/1/2013,2092273,17.24700612,35
7/1/2014,2089568,17.224708289,35
7/1/2015,2089291,17.222424925,35
7/1/2016,2091630,17.241705749,35
7/1/2017,2091784,17.2429752,35
7/1/2018,2092741,17.250863934,35
7/1/2019,2096829,17.284562099,35
4/1/2010,19378102,411.21713488,36
4/1/2010,19378144,411.21802615,36
7/1/2010,19399878,411.67923712,36
7/1/2011,19499241,413.78779079,36
7/1/2012,19572932,415.35156633,36
7/1/2013,19624447,416.44475134,36
7/1/2014,19651049,417.00926474,36
7/1/2015,19654666,417.08602006,36
7/1/2016,19633428,416.63533456,36
7/1/2017,19589572,415.70467899,36
7/1/2018,19530351,414.44796716,36
7/1/2019,19453561,412.81842864,36
4/1/2010,9535483,196.12153443,37
4/1/2010,9535751,196.12704653,37
7/1/2010,9574323,196.92037812,37
7/1/2011,9657592,198.63301753,37
7/1/2012,9749476,200.52284641,37
7/1/2013,9843336,202.45331676,37
7/1/2014,9932887,204.29516153,37
7/1/2015,10031646,206.32639232,37
7/1/2016,10154788,208.8591217,37
7/1/2017,10268233,211.19240754,37
7/1/2018,10381615,213.52439763,37
7/1/2019,10488084,215.71420423,37
4/1/2010,672591,9.7484340741,38
4/1/2010,672576,9.7482166663,38
7/1/2010,674715,9.7792190147,38
7/1/2011,685225,9.9315493939,38
7/1/2012,701176,10.162740819,38
7/1/2013,722036,10.465082562,38
7/1/2014,737401,10.68778059,38
7/1/2015,754066,10.929320625,38
7/1/2016,754434,10.934654362,38
7/1/2017,754942,10.942017239,38
7/1/2018,758080,10.987498945,38
7/1/2019,762062,11.045213462,38
4/1/2010,11536504,282.35080199,39
4/1/2010,11536751,282.3568472,39
7/1/2010,11539336,282.42011393,39
7/1/2011,11544663,282.55048988,39
7/1/2012,11548923,282.65475149,39
7/1/2013,11576684,283.33418961,39
7/1/2014,11602700,283.97091963,39
7/1/2015,11617527,284.33380386,39
7/1/2016,11634370,284.74602879,39
7/1/2017,11659650,285.36474554,39
7/1/2018,11676341,285.77325034,39
7/1/2019,11689100,286.08552119,39
4/1/2010,3751351,54.687649309,40
4/1/2010,3751582,54.691016855,40
7/1/2010,3759944,54.812919104,40
7/1/2011,3788379,55.227447978,40
7/1/2012,3818814,55.671133095,40
7/1/2013,3853214,56.172620462,40
7/1/2014,3878187,56.536679881,40
7/1/2015,3909500,56.993164589,40
7/1/2016,3926331,57.238528945,40
7/1/2017,3931316,57.311200879,40
7/1/2018,3940235,57.441223142,40
